CrashID,RegMonth,RegYear,RegDay,RegWeekDay
20212146,4,2021,Saturday,Weekend
20211102,4,2021,Friday,Weekend
20215012,4,2021,Saturday,Weekend
20211175,4,2021,Sunday,Weekend
20213088,4,2021,Friday,Weekend
20212110,4,2021,Sunday,Weekend
20217016,4,2021,Friday,Weekend
20211060,4,2021,Saturday,Weekend
20211060,4,2021,Saturday,Weekend
20213061,4,2021,Tuesday,Weekday
20215012,4,2021,Saturday,Weekend
20217018,4,2021,Wednesday,Weekday
20212123,4,2021,Thursday,Weekday
20211060,4,2021,Saturday,Weekend
20211101,4,2021,Sunday,Weekend
20215034,4,2021,Sunday,Weekend
20213166,4,2021,Sunday,Weekend
20213046,4,2021,Tuesday,Weekday
20213047,4,2021,Sunday,Weekend
20215020,4,2021,Friday,Weekend
20215077,4,2021,Saturday,Weekend
20216022,4,2021,Sunday,Weekend
20211043,4,2021,Sunday,Weekend
20215034,4,2021,Sunday,Weekend
20211126,4,2021,Saturday,Weekend
20211152,4,2021,Saturday,Weekend
20215113,4,2021,Saturday,Weekend
20211039,4,2021,Saturday,Weekend
20212064,4,2021,Saturday,Weekend
20212089,4,2021,Saturday,Weekend
20212093,4,2021,Saturday,Weekend
20213158,4,2021,Saturday,Weekend
20212101,4,2021,Saturday,Weekend
20213172,4,2021,Saturday,Weekend
20214054,4,2021,Saturday,Weekend
20214063,4,2021,Saturday,Weekend
20212115,4,2021,Tuesday,Weekday
20215004,4,2021,Tuesday,Weekday
20213093,4,2021,Sunday,Weekend
20214041,4,2021,Monday,Weekday
20215066,4,2021,Monday,Weekday
20211128,4,2021,Friday,Weekday
20213005,4,2021,Wednesday,Weekday
20215100,4,2021,Thursday,Weekday
20216006,4,2021,Thursday,Weekday
20214011,4,2021,Thursday,Weekday
20211024,4,2021,Sunday,Weekend
20213004,4,2021,Sunday,Weekend
20213004,4,2021,Sunday,Weekend
20215007,4,2021,Monday,Weekday
20216012,4,2021,Thursday,Weekday
20211032,4,2021,Thursday,Weekday
20211086,4,2021,Thursday,Weekday
20212049,4,2021,Thursday,Weekday
20216008,4,2021,Friday,Weekday
20211144,4,2021,Wednesday,Weekday
20212059,4,2021,Monday,Weekday
20214050,4,2021,Thursday,Weekday
20213063,4,2021,Monday,Weekday
20212012,4,2021,Thursday,Weekday
20213156,4,2021,Wednesday,Weekday
20211014,4,2021,Wednesday,Weekday
20216007,4,2021,Thursday,Weekday
20215116,4,2021,Tuesday,Weekday
20213143,4,2021,Monday,Weekday
20213052,4,2021,Thursday,Weekday
20212084,4,2021,Friday,Weekday
20211110,4,2021,Thursday,Weekday
20211110,4,2021,Thursday,Weekday
20211110,4,2021,Thursday,Weekday
20211159,4,2021,Thursday,Weekday
20212020,4,2021,Friday,Weekday
20214023,4,2021,Friday,Weekend
20211182,4,2021,Sunday,Weekend
20218005,4,2021,Tuesday,Weekday
20211155,4,2021,Thursday,Weekday
20213076,4,2021,Sunday,Weekend
20213079,4,2021,Friday,Weekday
20212091,4,2021,Friday,Weekday
20211139,4,2021,Thursday,Weekday
20214012,4,2021,Thursday,Weekday
20214020,4,2021,Tuesday,Weekday
20207021,4,2020,Sunday,Weekend
20203047,4,2020,Saturday,Weekend
20202016,4,2020,Friday,Weekend
20202016,4,2020,Friday,Weekend
20203042,4,2020,Sunday,Weekend
20205055,4,2020,Sunday,Weekend
20202048,4,2020,Monday,Weekend
20203015,4,2020,Saturday,Weekend
20204063,4,2020,Friday,Weekend
20203209,4,2020,Wednesday,Weekday
20203212,4,2020,Monday,Weekday
20202144,4,2020,Wednesday,Weekday
20203216,4,2020,Friday,Weekday
20201092,4,2020,Thursday,Weekday
20208004,4,2020,Saturday,Weekend
20204002,4,2020,Saturday,Weekend
20204002,4,2020,Saturday,Weekend
20203232,4,2020,Sunday,Weekend
20204070,4,2020,Sunday,Weekend
20201190,4,2020,Saturday,Weekend
20203245,4,2020,Saturday,Weekend
20201054,4,2020,Sunday,Weekend
20201245,4,2020,Sunday,Weekend
20201245,4,2020,Sunday,Weekend
20204044,4,2020,Friday,Weekend
20205093,4,2020,Saturday,Weekend
20203203,4,2020,Sunday,Weekend
20201258,4,2020,Saturday,Weekend
20201225,4,2020,Saturday,Weekend
20208004,4,2020,Saturday,Weekend
20202135,4,2020,Sunday,Weekend
20201231,4,2020,Saturday,Weekend
20205114,4,2020,Friday,Weekday
20205081,4,2020,Wednesday,Weekday
20202039,4,2020,Friday,Weekday
20201192,4,2020,Thursday,Weekday
20201021,4,2020,Monday,Weekday
20201109,4,2020,Wednesday,Weekday
20203003,4,2020,Wednesday,Weekday
20201219,4,2020,Thursday,Weekday
20201041,4,2020,Thursday,Weekday
20203221,4,2020,Tuesday,Weekday
20201161,4,2020,Wednesday,Weekday
20205024,4,2020,Tuesday,Weekday
20201259,4,2020,Sunday,Weekend
20201217,4,2020,Friday,Weekend
20201014,4,2020,Wednesday,Weekday
20205102,4,2020,Wednesday,Weekday
20201096,4,2020,Wednesday,Weekday
20203197,4,2020,Thursday,Weekday
20201146,4,2020,Tuesday,Weekday
20201085,4,2020,Wednesday,Weekday
20202189,4,2020,Wednesday,Weekday
20202107,4,2020,Thursday,Weekday
20204085,4,2020,Thursday,Weekday
20202149,4,2020,Thursday,Weekday
20203089,4,2020,Thursday,Weekday
20202138,4,2020,Tuesday,Weekday
20203139,4,2020,Friday,Weekday
20203010,4,2020,Wednesday,Weekday
20203141,4,2020,Friday,Weekday
20205016,4,2020,Tuesday,Weekday
20203128,4,2020,Friday,Weekday
20203128,4,2020,Friday,Weekday
20202171,4,2020,Wednesday,Weekday
20203243,4,2020,Tuesday,Weekday
20205006,4,2020,Wednesday,Weekday
20205006,4,2020,Wednesday,Weekday
20202015,4,2020,Wednesday,Weekday
20202055,4,2020,Wednesday,Weekday
20202055,4,2020,Wednesday,Weekday
20202055,4,2020,Wednesday,Weekday
20202055,4,2020,Wednesday,Weekday
20201166,4,2020,Wednesday,Weekday
20201042,4,2020,Tuesday,Weekday
20201224,4,2020,Wednesday,Weekday
20204013,4,2020,Wednesday,Weekday
20203048,4,2020,Monday,Weekday
20202124,4,2020,Friday,Weekday
20195069,4,2019,Monday,Weekend
20195128,4,2019,Friday,Weekend
20192077,4,2019,Monday,Weekend
