CrashID,RegMonth,RegYear,RegDay,RegWeekDay
20212146,April,2021,Saturday,Weekend
20211102,April,2021,Friday,Weekend
20215012,April,2021,Saturday,Weekend
20211175,April,2021,Sunday,Weekend
20213088,April,2021,Friday,Weekend
20212110,April,2021,Sunday,Weekend
20217016,April,2021,Friday,Weekend
20211060,April,2021,Saturday,Weekend
20211060,April,2021,Saturday,Weekend
20213061,April,2021,Tuesday,Weekday
20215012,April,2021,Saturday,Weekend
20217018,April,2021,Wednesday,Weekday
20212123,April,2021,Thursday,Weekday
20211060,April,2021,Saturday,Weekend
20211101,April,2021,Sunday,Weekend
20215034,April,2021,Sunday,Weekend
20213166,April,2021,Sunday,Weekend
20213046,April,2021,Tuesday,Weekday
20213047,April,2021,Sunday,Weekend
20215020,April,2021,Friday,Weekend
20215077,April,2021,Saturday,Weekend
20216022,April,2021,Sunday,Weekend
20211043,April,2021,Sunday,Weekend
20215034,April,2021,Sunday,Weekend
20211126,April,2021,Saturday,Weekend
20211152,April,2021,Saturday,Weekend
20215113,April,2021,Saturday,Weekend
20211039,April,2021,Saturday,Weekend
20212064,April,2021,Saturday,Weekend
20212089,April,2021,Saturday,Weekend
20212093,April,2021,Saturday,Weekend
20213158,April,2021,Saturday,Weekend
20212101,April,2021,Saturday,Weekend
20213172,April,2021,Saturday,Weekend
20214054,April,2021,Saturday,Weekend
20214063,April,2021,Saturday,Weekend
20212115,April,2021,Tuesday,Weekday
20215004,April,2021,Tuesday,Weekday
20213093,April,2021,Sunday,Weekend
20214041,April,2021,Monday,Weekday
20215066,April,2021,Monday,Weekday
20211128,April,2021,Friday,Weekday
20213005,April,2021,Wednesday,Weekday
20215100,April,2021,Thursday,Weekday
20216006,April,2021,Thursday,Weekday
20214011,April,2021,Thursday,Weekday
20211024,April,2021,Sunday,Weekend
20213004,April,2021,Sunday,Weekend
20213004,April,2021,Sunday,Weekend
20215007,April,2021,Monday,Weekday
20216012,April,2021,Thursday,Weekday
20211032,April,2021,Thursday,Weekday
20211086,April,2021,Thursday,Weekday
20212049,April,2021,Thursday,Weekday
20216008,April,2021,Friday,Weekday
20211144,April,2021,Wednesday,Weekday
20212059,April,2021,Monday,Weekday
20214050,April,2021,Thursday,Weekday
20213063,April,2021,Monday,Weekday
20212012,April,2021,Thursday,Weekday
20213156,April,2021,Wednesday,Weekday
20211014,April,2021,Wednesday,Weekday
20216007,April,2021,Thursday,Weekday
20215116,April,2021,Tuesday,Weekday
20213143,April,2021,Monday,Weekday
20213052,April,2021,Thursday,Weekday
20212084,April,2021,Friday,Weekday
20211110,April,2021,Thursday,Weekday
20211110,April,2021,Thursday,Weekday
20211110,April,2021,Thursday,Weekday
20211159,April,2021,Thursday,Weekday
20212020,April,2021,Friday,Weekday
20214023,April,2021,Friday,Weekend
20211182,April,2021,Sunday,Weekend
20218005,April,2021,Tuesday,Weekday
20211155,April,2021,Thursday,Weekday
